feature,importance
구,0.22514285
회전좌표Y,0.1347319
회전좌표X,0.093083866
건축년도,0.07808041
거래년도,0.053911626
위도,0.049780272
동,0.047224574
클러스터,0.037829317
주차대수,0.03055071
k-연면적,0.028048914
k-전체동수,0.02240926
경도,0.020986646
sub_score_1200,0.019962486
부번,0.019797256
k-주거전용면적,0.014162069
k-전체세대수,0.014017816
연식,0.012532607
bus_cnt_800,0.01096734
아파트명,0.010829018
도로명,0.010302852
본번,0.008904841
sub_cnt_1200,0.008158088
전용면적,0.007162842
bus_cnt_500,0.006725797
sub_cnt_800,0.0064108116
sub_cnt_500,0.0063363295
dist_to_bus,0.006071222
dist_to_subway,0.0054552997
bus_cnt_300,0.004376405
sub_cnt_300,0.0034613926
거래월,0.0014085503
층,0.0009095348
계약일,0.00026716437
시,0.0
